upload_date;country_name;country_code;year;supra_reg;fishing_tech;vessel_length;geo_indicator;gear;fishery;activity;cluster_name;fs_name;variable_group;variable_name;variable_code;value;unit;fromtable;framework;template_name
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Repair & maintenance costs;totrepcost;2.000.414.751;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Repair & maintenance costs;totrepcost;1.651.258.181;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Repair & maintenance costs;totrepcost;1.893.944.046;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Energy costs;totenercost;4.324.756.808;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Energy costs;totenercost;4.670.511.591;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Energy costs;totenercost;6.498.545.304;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Personnel costs;totcrewwage;1.665.677.036;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Personnel costs;totcrewwage;3.401.631.945;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Personnel costs;totcrewwage;2.366.475.566;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Value of unpaid labour;totunpaidlab;835.424.959;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Value of unpaid labour;totunpaidlab;5.025.800.694;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Value of unpaid labour;totunpaidlab;9.276.917.007;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Subsidies on investments;subinvest;0;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Subsidies on investments;subinvest;0;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Subsidies on investments;subinvest;0;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Income;Operating subsidies;totdirsub;0;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Income;Operating subsidies;totdirsub;0;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Income;Operating subsidies;totdirsub;0;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Income;Gross value of landings;totlandginc;6.235.614.518;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Income;Gross value of landings;totlandginc;13298490.55;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Income;Gross value of landings;totlandginc;10666681.46;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Income;Income from leasing out quota;totrightsinc;0;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Income;Income from leasing out quota;totrightsinc;0;euro;map_fs;map;map_fs
