upload_date;country_name;country_code;year;supra_reg;fishing_tech;vessel_length;geo_indicator;gear;fishery;activity;cluster_name;fs_name;variable_group;variable_name;variable_code;value;unit;species_name;species_code;sub_reg;fromtable;framework;template_name
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;15.599.259;euro;Pacific cupped oyster;OYG;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;78177.94;euro;Red starfish;STH;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;2.333.982.185;euro;Solid surf clam;ULO;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;5.519.036;euro;Edible crab;CRE;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;38642;kg;Sandeels(=Sandlances) nei;SAN;27.3.a;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;621;kg;European sprat;SPR;27.3.a;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;43520;kg;Blue mussel;MUS;27.3.c.22;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;2674735;kg;Common edible cockle;COC;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;493;kg;European eel;ELE;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;1844;kg;European lobster;LBE;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;22129484;kg;Blue mussel;MUS;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;93038;kg;European flat oyster;OYF;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;2076;kg;Pacific cupped oyster;OYG;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;579151;kg;Red starfish;STH;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;1818290;kg;Solid surf clam;ULO;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;124;kg;Edible crab;CRE;27.4.b;map_fsfao;map;map_fsfao
